	Hotel	Location	Code	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
2557	Park Hyatt Washington D.C.	Washington DC 	DC	$299	4.5	Excellent	100	59	5
2558	The Ritz-Carlton Georgetown, Washington, D.C.	Washington DC 	DC	$419	4.5	Excellent	96	129	26
2559	Kimpton Carlyle Hotel	Washington DC 	DC	$159	4.5	Excellent	100	102	20
2560	The St. Regis Washington, D.C.	Washington DC 	DC	$329	4.5	Excellent	100	189	24
2561	Swann House	Washington DC 	DC	$184	4.5	Excellent	100	88	16
2562	Capitol Skyline Hotel	Washington DC 	DC	$139	4.0	Very good	90	22	6
2563	Omni Shoreham Hotel	Washington DC 	DC	$174	4.0	Very good	85	183	24
2564	ARC THE. HOTEL D.C.	Washington DC 	DC	$154	4.0	Very good	100	56	8
2565	Hyatt Place Washington DC US Capitol	Washington DC 	DC	$143	4.0	Very good	81	224	22
2566	Hotel RL Washington DC	Washington DC 	DC	$103	4.0	Very good	100	251	28
2567	Hampton Inn & Suites Washington DC Navy Yard	Washington DC 	DC	$127	4.0	Very good	95	61	5
2568	Capital Hilton	Washington DC 	DC	$140	4.0	Very good	100	181	23
2569	Club Quarters Hotel in Washington, D.C.	Washington DC 	DC	$132	4.0	Very good	100	165	21
2570	Fairfield Inn & Suites Washington, DC/Downtown	Washington DC 	DC	$134	4.0	Very good	100	158	24
2571	Adam's Inn	Washington DC 	DC	$94	4.0	Very good	91	97	14
2572	The Wink	Washington DC 	DC	$129	4.0	Very good	100	158	10
2573	Kimpton Rouge Hotel	Washington DC 	DC	$124	4.0	Very good	100	100	29
2574	Kimpton Topaz Hotel	Washington DC 	DC	$124	4.0	Very good	100	163	36
2575	Renaissance Washington, DC Downtown Hotel	NA	DC	$209	4.0	Very good	100	167	26
2576	Courtyard Washington DC/US Capitol	Washington DC 	DC	$199	4.0	Very good	87	180	16
2577	Residence Inn by Marriott Washington Downtown/Convention Center	Washington DC 	DC	$156	4.5	Excellent	100	95	11
2578	Marriott Vacation Club Pulse At The Mayflower	Washington DC 	DC	$229	4.5	Excellent	100	225	27
2579	The Mansion on O Street	NA	DC	$450	4.5	Excellent	100	168	37
2580	The Embassy Row Hotel	Washington DC 	DC	$219	4.0	Very good	100	119	39
2581	Kellogg Conference Hotel At Gallaudet University	Washington DC 	DC	$104	4.0	Very good	91	42	5
2582	Liaison Washington Capitol Hill	Washington DC 	DC	$103	4.0	Very good	100	80	16
2583	Hotel Arboretum	Washington DC 	DC	$124	4.0	Very good	52	23	5
2584	Days Inn by Wyndham Washington DC/Connecticut Avenue	Washington DC 	DC	$118	3.5	Very good	68	36	3
2585	Beacon Hotel & Corporate Quarters	Washington DC 	DC	$119	4.0	Very good	100	150	32
2586	Hotel Harrington	Washington DC 	DC	$139	3.5	Very good	100	166	31
2587	Fairfield Inn & Suites Washington, DC/New York Avenue	Washington DC 	DC	$129	3.5	Very good	54	22	5
2588	Washington Hilton	Washington DC 	DC	$191	4.0	Very good	100	93	18
2589	Hilton Washington DC National Mall	NA	DC	$152	4.0	Very good	99	55	11
2590	Georgetown Suites Harbour	Washington DC 	DC	$132	4.0	Very good	100	101	23
2591	Windsor Park Hotel	Washington DC 	DC	$108	3.5	Very good	86	345	73
2592	Architect Hotel	Washington DC 	DC	$98	3.5	Very good	100	169	20
2593	The Baron Hotel	Washington DC 	DC	$85	3.0	Average	100	88	29
2594	Georgetown University Hotel and Conference Center	Washington DC 	DC	$125	3.5	Very good	66	112	37
2595	Washington Marriott Wardman Park	Washington DC 	DC	$199	3.5	Very good	88	159	22
2596	DC Lofty	Washington DC 	DC	$124	3.5	Very good	100	76	12
2597	Windsor Inn	Washington DC 	DC	$83	3.0	Average	99	114	20
2598	W Washington D.C.	Washington DC 	DC	$269	4.0	Very good	100	116	21
2599	U Street Hostel	Washington DC 	DC	$113	3.5	Very good	NA	NA	NA
2600	Ampeer	Washington DC 	DC	$152	3.5	Very good	NA	NA	NA
2601	Birdhouse Bed and Breakfast	Washington DC 	DC	$121	4.5	Excellent	83	198	41
2602	The Eldon Luxury Suites	Washington DC 	DC	$119	4.0	Very good	100	108	12
2603	Duo Nomad	Washington DC 	DC	$81	3.5	Very good	100	65	16
2604	Global Luxury Suites Capitol Hill/Navy Yard	Washington DC 	DC	$229	0.0		NA	NA	NA
2605	Hilltop Hostel	Washington DC 	DC	$50	3.0	Average	69	20	3
2606	DC International Hostel 1	Washington DC 	DC	$59	3.5	Very good	91	44	9
2607	The Embassy Inn Hotel	Washington DC 	DC	$109	3.0	Average	100	90	20
2608	Ivy City Hotel	Washington DC 	DC	$107	3.0	Average	47	42	4
2609	Hotel Madera	Washington DC 	DC	$119	3.5	Very good	100	190	35
2610	The Georgetown House	Washington DC 	DC	$169	4.5	Excellent	95	137	28
2611	Joud Residence	Washington DC 	DC	$109	3.0	Average	100	67	9
2612	Sleep Inn	Nashville 	TN	$60	4.0	Very good	45	15	1
2613	Holiday Inn Nashville-Vanderbilt (Downtown)	NA	TN	$206	4.5	Excellent	86	43	5
2614	Clarion Hotel Nashville Downtown - Stadium	Nashville 	TN	$217	4.5	Excellent	59	43	12
2615	The Capitol Hotel Downtown Nashville	Nashville 	TN	$294	4.0	Very good	99	87	21
2616	Drury Inn & Suites Nashville Airport	Nashville 	TN	$130	4.5	Excellent	41	44	7
2617	Homewood Suites Nashville Vanderbilt	Nashville 	TN	$297	4.5	Excellent	88	46	7
2618	Holiday Inn Express Hotel & Suites Nashville - Opryland	Nashville 	TN	$169	4.5	Excellent	80	30	22
2619	Hampton Inn & Suites Nashville @ Opryland	Nashville 	TN	$140	4.5	Excellent	80	16	19
2620	Hyatt House Nashville at Vanderbilt	Nashville 	TN	$193	4.5	Excellent	NA	NA	NA
2621	Comfort Suites  Airport	Nashville 	TN	$98	4.0	Very good	NA	NA	NA
2622	Bode Nashville	Nashville 	TN	$249	4.5	Excellent	NA	NA	NA
2623	Hilton Garden Inn Nashville/Vanderbilt	Nashville 	TN	$229	4.5	Excellent	91	72	18
2624	Home2 Suites by Hilton Nashville Vanderbilt	Nashville 	TN	$215	4.5	Excellent	91	72	17
2625	Nashville Downtown Hostel	Nashville 	TN	$120	4.5	Excellent	100	147	76
2626	DoubleTree by Hilton Nashville-Downtown	Nashville 	TN	$374	4.0	Very good	100	112	35
2627	The Westin Nashville	Nashville 	TN	$404	4.5	Excellent	92	42	23
2628	Hampton Inn & Suites Nashville - Downtown	Nashville 	TN	$421	4.0	Very good	100	91	48
2629	Hotel Indigo Nashville	Nashville 	TN	$359	4.5	Excellent	100	123	48
2630	Radisson Hotel Nashville Airport	Nashville 	TN	$107	4.0	Very good	38	44	7
2631	Best Western Plus Belle Meade Inn & Suites	Nashville 	TN	$140	4.5	Excellent	39	54	5
2632	Courtyard by Marriott Nashville Green Hills	Nashville 	TN	$156	4.0	Very good	61	81	9
2633	Hilton Garden Inn Nashville Downtown / Convention Center	Nashville 	TN	$441	4.5	Excellent	96	53	22
2634	Hampton Inn Bellevue / Nashville-I-40-West	Nashville 	TN	$125	4.5	Excellent	39	28	1
2635	The Russell	NA	TN	$133	5.0	Excellent	NA	NA	NA
2636	Homewood Suites by Hilton Nashville-Airport	Nashville 	TN	$171	4.0	Very good	37	35	0
2637	TownePlace Suites Nashville Airport	Nashville 	TN	$149	4.5	Excellent	44	32	0
2638	Fairfield Inn & Suites Nashville Downtown/The Gulch	Nashville 	TN	$269	4.5	Excellent	91	39	22
2639	Residence Inn Nashville Vanderbilt/West End	NA	TN	$249	4.5	Excellent	95	61	15
2640	Omni Nashville Hotel	NA	TN	$699	4.5	Excellent	97	84	40
2641	JW Marriott Nashville	Nashville 	TN	$1,424	4.5	Excellent	92	41	20
2642	Best Western Plus Nashville Airport Hotel	Nashville 	TN	$103	4.5	Excellent	42	30	0
2643	Loews Vanderbilt Hotel	Nashville 	TN	$169	4.5	Excellent	90	78	10
2644	Hutton Hotel	Nashville 	TN	$271	4.5	Excellent	94	69	13
2645	Cambria Hotel Nashville Downtown	Nashville 	TN	$409	4.5	Excellent	94	52	28
2646	Sheraton Grand Nashville Downtown	Nashville 	TN	$377	4.0	Very good	100	95	24
2647	Courtyard by Marriott Nashville Downtown	Nashville 	TN	$469	4.0	Very good	100	179	89
2648	Country Inn & Suites by Radisson, Nashville Airport East, TN	Nashville 	TN	$94	4.0	Very good	46	15	1
2649	Hampton Inn Nashville / Vanderbilt	Nashville 	TN	$224	4.5	Excellent	93	82	11
2650	Holston House Nashville	Nashville 	TN	$359	4.5	Excellent	100	115	45
2651	Quality Suites Nashville Airport	Nashville 	TN	$123	4.5	Excellent	NA	NA	NA
2652	Hampton Inn & Suites Nashville - Vanderbilt - Elliston Place	Nashville 	TN	$176	4.5	Excellent	89	51	6
2653	21c Museum Hotel Nashville	Nashville 	TN	$349	4.5	Excellent	100	147	62
2654	Union Station Hotel, Autograph Collection	Nashville 	TN	$305	4.5	Excellent	95	43	12
2655	Hampton Inn & Suites Nashville / Airport	Nashville 	TN	$131	4.0	Very good	36	42	7
2656	Kimpton Aertson Hotel	NA	TN	$359	4.5	Excellent	94	70	14
2657	The Germantown Inn	Nashville 	TN	$175	5.0	Excellent	81	38	4
2658	Nashville Marriott at Vanderbilt University	Nashville 	TN	$151	4.5	Excellent	90	52	5
2659	Noelle, Nashville, A Tribute Portfolio Hotel	NA	TN	$519	4.5	Excellent	100	179	86
2660	Fairfield Inn & Suites Nashville at Opryland	Nashville 	TN	$159	4.0	Very good	74	19	19
2661	Hampton Inn & Suites Nashville - Green Hills	Nashville 	TN	$187	4.5	Excellent	64	81	10
2662	Nashville Airport Marriott	Nashville 	TN	$129	4.5	Excellent	NA	NA	NA
2663	Belmont Blvd Bed and Breakfast	Nashville 	TN	$250	5.0	Excellent	55	30	8
2664	SpringHill Suites Nashville Vanderbilt/West End	Nashville 	TN	$229	4.5	Excellent	93	63	16
2665	Gaylord Opryland Resort & Convention Center	Nashville 	TN	$191	4.0	Very good	86	12	3
2666	Best Western Suites Near Opryland	Nashville 	TN	$120	4.0	Very good	76	10	15
2667	Renaissance Nashville Hotel	Nashville 	TN	$569	4.5	Excellent	100	152	65
2668	The Hermitage Hotel	Nashville 	TN	$599	4.5	Excellent	100	106	32
2669	Bobby Hotel	Nashville 	TN	$416	4.5	Excellent	100	153	71
2670	Residence Inn Nashville Downtown/Convention Center	Nashville 	TN	$759	4.5	Excellent	95	44	16
2671	Thompson Nashville	Nashville 	TN	$829	4.5	Excellent	98	60	23
2672	Club-Hotel Nashville Inn & Suites	Nashville 	TN	$87	4.0	Very good	NA	NA	NA
2673	Red Roof PLUS+ Nashville Airport	Nashville 	TN	$70	4.0	Very good	42	42	7
2674	Quality Inn Nashville Downtown - Stadium	Nashville 	TN	$316	3.5	Very good	67	104	62
2675	Best Western Plus Music Row	Nashville 	TN	$359	4.0	Very good	81	41	15
2676	Wingate by Wyndham Nashville Airport	Nashville 	TN	$101	4.0	Very good	NA	NA	NA
2677	Best Western Plus Sunrise Inn	Nashville 	TN	$107	4.0	Very good	36	19	1
2678	AC Hotel by Marriott Nashville Downtown	Nashville 	TN	$485	4.5	Excellent	95	54	23
2679	Hayes Street Hotel	Nashville 	TN	$179	4.0	Very good	93	72	11
2680	Sheraton Music City Hotel	Nashville 	TN	$129	4.0	Very good	NA	NA	NA
2681	DoubleTree Suites by Hilton Hotel Nashville Airport	Nashville 	TN	$126	4.0	Very good	NA	NA	NA
2682	Country Inn & Suites by Radisson, Nashville, TN	Nashville 	TN	$127	3.5	Very good	81	16	19
2683	Hyatt Place Nashville/Opryland	Nashville 	TN	$137	4.0	Very good	80	16	19
2684	GLo Best Western Nashville Airport West	Nashville 	TN	$119	4.5	Excellent	36	1020	266
2685	Holiday Inn Express Nashville W-I40 / Whitebridge Road	Nashville 	TN	$136	4.0	Very good	40	45	4
2686	Hilton Nashville Airport	Nashville 	TN	$121	3.5	Very good	NA	NA	NA
2687	Embassy Suites by Hilton Nashville - Airport	Nashville 	TN	$144	4.0	Very good	NA	NA	NA
2688	Residence Inn Nashville at Opryland	Nashville 	TN	$135	4.5	Excellent	76	10	14
2689	Holiday Inn Express Nashville Airport	Nashville 	TN	$112	3.5	Very good	NA	NA	NA
2690	Home2 Suites by Hilton Nashville Airport	Nashville 	TN	$161	4.0	Very good	NA	NA	NA
2691	Fairfield Inn & Suites by Marriott Nashville MetroCenter	Nashville 	TN	$161	4.0	Very good	39	23	4
2692	Hyatt Place Nashville Airport	Nashville 	TN	$140	4.0	Very good	42	30	0
2693	Hilton Garden Inn Nashville Airport	Nashville 	TN	$143	4.0	Very good	NA	NA	NA
2694	SpringHill Suites by Marriott Nashville Airport	Nashville 	TN	$149	4.0	Very good	40	41	7
2695	Aloft Nashville West End	Nashville 	TN	$259	3.5	Very good	91	73	19
2696	Hilton Nashville Green Hills	Nashville 	TN	$173	4.5	Excellent	63	81	10
2697	Courtyard by Marriott Nashville at Opryland	Nashville 	TN	$159	4.0	Very good	78	10	15
2698	Courtyard by Marriott Nashville Airport	Nashville 	TN	$125	4.0	Very good	NA	NA	NA
2699	Courtyard Nashville Vanderbilt/West End	Nashville 	TN	$220	4.0	Very good	94	80	13
2700	Residence Inn by Marriott Nashville Airport	Nashville 	TN	$152	3.5	Very good	NA	NA	NA
2701	Holiday Inn Express Nashville Downtown Conference Center	Nashville 	TN	$655	4.0	Very good	95	44	10
2702	Americas Best Value Inn Nashville/South	Nashville 	TN	$69	3.5	Very good	NA	NA	NA
2703	Comfort Inn Downtown Nashville-Vanderbilt	Nashville 	TN	$237	3.5	Very good	86	53	15
2704	FieldHouse Jones Hotel Nashville	Nashville 	TN	$168	5.0	Excellent	NA	NA	NA
2705	Tru By Hilton Nashville Downtown Convention Center	Nashville 	TN	$364	4.0	Very good	NA	NA	NA
2706	La Quinta Inn & Suites by Wyndham Nashville Airport	Nashville 	TN	$84	3.5	Very good	43	30	0
2707	Microtel Inn & Suites by Wyndham Nashville	Nashville 	TN	$84	3.5	Very good	40	27	2
2708	Moxy Nashville Downtown	Nashville 	TN	$356	4.5	Excellent	NA	NA	NA
2709	Hotel Preston	Nashville 	TN	$98	3.5	Very good	NA	NA	NA
2710	Stay Alfred at The James	Nashville 	TN	$284	3.5	Very good	100	170	84
2711	The Inn at Opryland, A Gaylord Hotel	Nashville 	TN	$143	3.5	Very good	85	15	19
2712	Alexis Inn & Suites Nashville Airport Opryland	Nashville 	TN	$81	3.5	Very good	NA	NA	NA
2713	Home2 Suites by Hilton Nashville Downtown Convention Center	Nashville 	TN	$383	4.0	Very good	NA	NA	NA
2714	Country Inn & Suites by Radisson, Nashville Airport, TN	Nashville 	TN	$105	3.5	Very good	36	46	8
2715	Sleep Inn	Nashville 	TN	$90	3.5	Very good	38	19	1
2716	Stay Alfred at 505	Nashville 	TN	$344	3.5	Very good	100	175	84
2717	The Nash Guest House	Nashville 	TN	$200	5.0	Excellent	NA	NA	NA
2718	Comfort Suites	Nashville 	TN	$190	4.0	Very good	46	15	1
2719	Super 8 by Wyndham Nashville West	Nashville 	TN	$87	3.0	Average	44	19	1
2720	Comfort Inn Nashville/White Bridge	Nashville 	TN	$116	3.5	Very good	40	55	5
2721	Candlewood Suites Nashville - Metro Center	NA	TN	$175	4.0	Very good	NA	NA	NA
2722	Four Points by Sheraton Nashville Airport	Nashville 	TN	$110	3.5	Very good	39	41	7
2723	SpringHill Suites Nashville MetroCenter	Nashville 	TN	$178	3.5	Very good	NA	NA	NA
2724	The Guild The Gulch | Velocity	Nashville 	TN	$277	4.0	Very good	NA	NA	NA
2725	Music City Hostel	Nashville 	TN	$112	4.0	Very good	82	22	4
2726	Residence Inn Nashville Green Hills	Nashville 	TN	$190	3.5	Very good	63	31	5
2727	The 404 Hotel	Nashville 	TN	$319	4.5	Excellent	96	58	21
2728	Red Roof PLUS+ Nashville Fairgrounds	Nashville 	TN	$72	3.5	Very good	42	12	3
2729	Hampton Inn & Suites by Hilton Nashville North Skyline	Nashville 	TN	$122	4.5	Excellent	NA	NA	NA
2730	Margaritaville Hotel Nashville	Nashville 	TN	$349	5.0	Excellent	NA	NA	NA
2731	Fairfield Inn & Suites Nashville Airport	Nashville 	TN	$110	4.0	Very good	NA	NA	NA
2732	Knights Inn Nashville Downtown	Nashville 	TN	$130	3.5	Very good	58	38	10
2733	Congress Inn	Nashville 	TN	$68	4.5	Excellent	NA	NA	NA
2734	Econo Lodge North	Nashville 	TN	$70	3.0	Average	39	19	1
2735	Holiday Inn Express Hotel & Suites Nashville - I-40 & 1-24 (Spence Lane)	Nashville 	TN	$118	3.0	Average	NA	NA	NA
2736	Americas Best Value Inn-Nashville/Downtown	Nashville 	TN	$70	3.0	Average	NA	NA	NA
2737	Super 8 by Wyndham Nashville East	Nashville 	TN	$139	3.5	Very good	43	42	7
2738	Mint House at Village Row	Nashville 	TN	$204	4.0	Very good	NA	NA	NA
2739	The Lee Apartahotel	Nashville 	TN	$123	3.0	Average	NA	NA	NA
2740	Mint House at the Reserve	Nashville 	TN	$188	4.5	Excellent	NA	NA	NA
2741	Belle Air Inn	Nashville 	TN	$239	5.0	Excellent	NA	NA	NA
2742	Studio 154 Luxury Hotel	Nashville 	TN	$274	3.5	Very good	NA	NA	NA
2743	Stay Alfred on Rolling Mill Hill	Nashville 	TN	$242	3.0	Average	73	124	76
2744	Mint House in Hillsboro Village	Nashville 	TN	$136	4.0	Very good	NA	NA	NA
2745	Vandyke	Nashville 	TN	$240	5.0	Excellent	NA	NA	NA
2746	Ramada by Wyndham Nashville/music Valley	Nashville 	TN	$93	3.5	Very good	81	16	19
2747	Days Inn by Wyndham Nashville at Opryland/Music Valley Dr	Nashville 	TN	$68	2.5	Average	76	11	15
2748	Days Inn by Wyndham Downtown-Nashville West Trinity Lane	Nashville 	TN	$55	2.0	Poor	NA	NA	NA
2749	Super 8 by Wyndham Nashville Downtown	Nashville 	TN	$50	2.0	Poor	NA	NA	NA
2750	Extended Stay America - Nashville - Vanderbilt	Nashville 	TN	$138	3.0	Average	72	48	12
2751	La Quinta Inn & Suites by Wyndham Nashville Airport/Opryland	Nashville 	TN	$93	3.0	Average	NA	NA	NA
2752	Days Inn by Wyndham Nashville Saint Thomas West Hospital	Nashville 	TN	$67	2.5	Average	37	39	3
2753	Rodeway Inn	Nashville 	TN	$57	2.5	Average	NA	NA	NA
2754	Motel 6 Nashville - Airport	Nashville 	TN	$65	3.0	Average	45	15	1
2755	Apple Annie's Inn	Nashville 	TN	$65	2.5	Average	NA	NA	NA
2756	Mint House at Midtown	Nashville 	TN	$230	NA	NA	NA	NA	NA
2757	Mint House in the West End	Nashville 	TN	$178	NA	NA	NA	NA	NA
2758	Millennium Maxwell House Nashville	Nashville 	TN	$95	3.0	Average	NA	NA	NA
2759	La Quinta Inn by Wyndham Nashville South	Nashville 	TN	$80	3.0	Average	40	14	3
2760	Somatel Nashville Airport	Nashville 	TN	$58	3.0	Average	38	32	0
2761	Travelodge by Wyndham Nashville	Nashville 	TN	$51	2.0	Poor	36	17	1
2762	Cambria Hotel Miami Airport - Blue Lagoon	Miami 	FL	$101	4.0	Very good	NA	NA	NA
2763	Hampton Inn & Suites by Hilton - Miami Airport / Blue Lagoon	Miami 	FL	$118	4.5	Excellent	61	16	1
2764	Hampton Inn & Suites by Hilton - Miami Brickell Downtown	Miami 	FL	$201	4.5	Excellent	98	158	19
2765	Novotel Miami Brickell	Miami 	FL	$170	4.5	Excellent	85	53	6
2766	Four Points by Sheraton Miami Airport	Miami 	FL	$76	4.5	Excellent	47	59	3
2767	Hotel Arya	Miami 	FL	$104	4.0	Very good	99	76	13
2768	Crowne Plaza Miami Airport	Miami 	FL	$93	4.0	Very good	63	54	4
2769	Candlewood Suites Miami Intl Airport - 36th Street	Miami 	FL	$95	4.5	Excellent	NA	NA	NA
2770	Even Hotels Miami Airport	Miami 	FL	$87	4.5	Excellent	41	19	5
2771	Homewood Suites Miami-Airport / Blue Lagoon	Miami 	FL	$107	4.0	Very good	56	29	1
2772	Hampton By Hilton Miami-Coconut Grove/Coral Gables	Miami 	FL	$118	4.5	Excellent	74	21	2
2773	Sheraton Miami Airport Hotel & Executive Meeting Center	Miami 	FL	$116	4.0	Very good	52	15	4
2774	Hampton Inn & Suites Miami Midtown	Miami 	FL	$158	4.5	Excellent	90	71	6
2775	Aloft Miami Airport	Miami 	FL	$91	4.0	Very good	46	45	3
2776	Residence Inn by Marriott Miami Airport	Miami 	FL	$119	4.5	Excellent	59	47	3
2777	Holiday Inn Express & Suites Miami Airport East	Miami 	FL	$121	4.0	Very good	54	51	21
2778	Hilton Garden Inn Miami Dolphin Mall	Miami 	FL	$89	4.5	Excellent	75	82	11
2779	The Guild Miami - Downtown	NA	FL	$182	5.0	Excellent	100	143	23
2780	HYATT House Miami Airport	Miami 	FL	$118	4.0	Very good	60	16	1
2781	Hampton Inn Miami Airport East	Miami 	FL	$133	4.5	Excellent	52	32	4
2782	Comfort Suites Miami / Kendall	Miami 	FL	$119	4.5	Excellent	49	21	1
2783	Vagabond Hotel Miami	Miami 	FL	$164	4.5	Excellent	72	24	1
2784	Hilton Miami Dadeland	Miami 	FL	$188	4.5	Excellent	NA	NA	NA
2785	Hyde Suites Midtown Miami	NA	FL	$309	4.5	Excellent	95	82	11
2786	The Mutiny Hotel	Miami 	FL	$126	4.5	Excellent	99	68	13
2787	Homewood Suites Miami-Airport West	Miami 	FL	$101	4.5	Excellent	43	65	5
2788	Residence Inn by Marriott Miami West/FL Turnpike	Miami 	FL	$125	4.5	Excellent	NA	NA	NA
2789	The Ritz-Carlton Coconut Grove, Miami	Miami 	FL	$399	4.0	Very good	82	33	7
2790	Miami Everglades Resort	Miami 	FL	$79	4.0	Very good	NA	NA	NA
2791	Courtyard Miami West/FL Turnpike	Miami 	FL	$89	4.0	Very good	NA	NA	NA
2792	Holiday Inn Port of Miami Downtown	Miami 	FL	$234	3.5	Very good	100	111	21
2793	Miami Marriott Biscayne Bay	Miami 	FL	$179	4.5	Excellent	85	28	9
2794	Hyatt Regency Miami	Miami 	FL	$169	4.0	Very good	100	178	15
2795	InterContinental Miami	Miami 	FL	$161	4.5	Excellent	100	102	9
2796	Kimpton EPIC Hotel	Miami 	FL	$269	4.5	Excellent	100	140	9
2797	EAST, Miami	Miami 	FL	$359	4.5	Excellent	100	170	22
2798	SLS Brickell	Miami 	FL	$242	4.5	Excellent	98	145	19
2799	Fortune House Hotel Suites	Miami 	FL	$189	4.5	Excellent	92	73	6
2800	Mandarin Oriental, Miami	Miami 	FL	$439	4.5	Excellent	85	19	1
2801	Hampton Inn Miami Dadeland	Miami 	FL	$116	4.0	Very good	65	84	2
2802	Four Seasons Hotel Miami	Miami 	FL	$425	4.5	Excellent	92	73	6
2803	JW Marriott Marquis Miami	Miami 	FL	$269	4.5	Excellent	100	175	12
2804	Hyatt Centric Brickell Miami	Miami 	FL	$249	4.5	Excellent	98	142	16
2805	Homewood Suites by Hilton Miami Downtown/Brickell	Miami 	FL	$152	4.5	Excellent	78	13	2
2806	Hotel Beaux Arts Autograph Collection	Miami 	FL	$350	4.5	Excellent	100	175	12
2807	Conrad Miami	Miami 	FL	$281	4.0	Very good	96	109	11
2808	Hilton Miami Downtown	Miami 	FL	$141	4.0	Very good	93	32	10
2809	Hilton Garden Inn Miami Airport West	Miami 	FL	$84	4.0	Very good	46	55	3
2810	Eurostars Langford	Miami 	FL	$135	4.0	Very good	100	215	14
2811	Courtyard by Marriott Miami Airport	Miami 	FL	$94	4.0	Very good	57	50	3
2812	The Copper Door B&B	Miami 	FL	$138	4.5	Excellent	79	176	26
2813	Courtyard Miami Downtown Brickell Area	Miami 	FL	$144	4.0	Very good	100	214	15
2814	Element Miami International Airport	Miami 	FL	$116	4.0	Very good	46	25	5
2815	DoubleTree by Hilton Hotel Miami Airport & Convention Center	Miami 	FL	$98	4.0	Very good	NA	NA	NA
2816	Stay Alfred Brickell	Miami 	FL	$312	4.0	Very good	78	259	31
2817	SpringHill Suites Miami Doral	Miami 	FL	$115	4.5	Excellent	60	56	1
2818	Aloft Miami - Brickell	Miami 	FL	$127	4.0	Very good	98	120	16
2819	Fairfield Inn & Suites Miami Airport South	NA	FL	$95	4.0	Very good	58	48	3
2820	Life House, Little Havana	Miami 	FL	$125	4.5	Excellent	NA	NA	NA
2821	Four Points by Sheraton Coral Gables	Miami 	FL	$105	4.0	Very good	75	22	4
2822	W Miami	Miami 	FL	$449	4.0	Very good	100	106	13
2823	YVE Hotel Miami	Miami 	FL	$333	4.0	Very good	100	177	19
2824	The Mayfair at Coconut Grove	Miami 	FL	$143	3.5	Very good	99	75	13
2825	Regency Hotel Miami	Miami 	FL	$97	4.0	Very good	63	53	4
2826	Holiday Inn Express Miami Airport Doral Area	NA	FL	$83	4.0	Very good	61	58	6
2827	La Quinta Inn by Wyndham Miami Airport North	Miami 	FL	$75	3.5	Very good	43	58	4
2828	Doubletree by Hilton Grand Hotel Biscayne Bay	Miami 	FL	$148	4.0	Very good	84	27	8
2829	La Quinta Inn & Suites by Wyndham Miami Airport West	Miami 	FL	$83	3.5	Very good	58	54	5
2830	Best Western Premier Miami International Airport Hotel & Suites	Miami 	FL	$93	4.0	Very good	55	65	7
2831	Hilton Miami Airport Blue Lagoon	Miami 	FL	$136	4.0	Very good	48	32	6
2832	PULLMAN Miami Airport hotel	Miami 	FL	$125	4.0	Very good	58	13	0
2833	OB Suites Brickell Miami	Miami 	FL	$155	4.5	Excellent	92	81	10
2834	Miccosukee Resort & Gaming	Miami 	FL	$109	3.5	Very good	NA	NA	NA
2835	Sinbad Motel	Miami 	FL	$65	3.5	Very good	61	57	15
2836	Staybridge Suites Miami International Airport	Miami 	FL	$102	4.0	Very good	47	24	5
2837	Mr. C Miami - Coconut Grove	Miami 	FL	$240	4.5	Excellent	NA	NA	NA
2838	The Gabriel Miami, Curio Collection by Hilton	Miami 	FL	$166	4.5	Excellent	97	26	15
2839	Mare Azur Design District Luxury Apartments	Miami 	FL	$197	4.0	Very good	72	131	20
2840	Hilton Garden Inn Miami Brickell South	Miami 	FL	$140	4.0	Very good	55	24	4
2841	Mare Azur by Grand Bay	Miami 	FL	$207	4.0	Very good	48	31	2
2842	SpringHill Suites Miami Airport South	Miami 	FL	$98	4.0	Very good	NA	NA	NA
2843	TownePlace Suites Miami Airport	Miami 	FL	$116	4.0	Very good	59	47	3
2844	Residence Inn by Marriott Miami Coconut Grove	Miami 	FL	$144	3.5	Very good	83	35	6
2845	Towers of Dadeland	Miami 	FL	$155	4.5	Excellent	63	84	2
2846	SpringHill Suites Miami Downtown/Medical Center	Miami 	FL	$139	3.5	Very good	66	58	1
2847	Miami Marriott Dadeland	Miami 	FL	$167	3.5	Very good	85	82	2
2848	Global Luxury Suites Downtown Miami	Miami 	FL	$169	4.5	Excellent	NA	NA	NA
2849	Miami Airport Marriott	Miami 	FL	$107	4.0	Very good	58	48	3
2850	JW Marriott Miami	Miami 	FL	$386	4.0	Very good	100	172	19
2851	One Broadway	Miami 	FL	$151	4.0	Very good	92	93	10
2852	Miami International Airport Hotel	Miami 	FL	$127	3.0	Average	69	59	59
2853	Miami Princess Hotel	Miami 	FL	$70	3.0	Average	58	48	2
2854	Domio Downtown Miami	Miami 	FL	$130	5.0	Excellent	NA	NA	NA
2855	Extended Stay America - Miami - Brickell - Port of Miami	Miami 	FL	$115	3.5	Very good	81	21	3
2856	Hudson House Wynwood	Miami 	FL	$78	3.5	Very good	NA	NA	NA
2857	Sunshine Inn of Miami	Miami 	FL	NA	3.0	Average	NA	NA	NA
2858	Quality Inn Miami South	Miami 	FL	$98	4.0	Very good	52	43	8
2859	iCoconutGrove	Miami 	FL	NA	4.5	Excellent	NA	NA	NA
