	Hotel	Location	State	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
294	Waikoloa Beach Marriott Resort & Spa	Island of Hawaii 	HI	$199	4.0	Very good	76	15	8
295	Arnott's Lodge	Island of Hawaii 	HI	$80	4.0	Very good	NA	NA	NA
296	Manago Hotel	Island of Hawaii 	HI	$75	4.0	Very good	63	15	6
297	The Inn at Kulaniapia Falls	Island of Hawaii 	HI	$199	4.5	Excellent	NA	NA	NA
298	Big Island Retreat	Island of Hawaii 	HI	$105	4.5	Excellent	51	11	9
299	Kohala Suites by Hilton Grand Vacations	Island of Hawaii 	HI	$271	4.5	Excellent	60	38	18
300	Mauna Kea Beach Hotel, Autograph Collection	Island of Hawaii 	HI	$529	4.5	Excellent	52	37	21
301	Hilo Bay Hale Bed & Breakfast	Island of Hawaii 	HI	$159	5.0	Excellent	85	35	8
302	Aloha Junction Bed and Breakfast	Island of Hawaii 	HI	$135	4.5	Excellent	36	16	21
303	Hale Kai Hawaii Bed & Breakfast	Island of Hawaii 	HI	$185	4.5	Excellent	NA	NA	NA
304	Volcano Rainforest Retreat	Island of Hawaii 	HI	$285	5.0	Excellent	NA	NA	NA
305	Lava Pond Lodge	Island of Hawaii 	HI	$158	5.0	Excellent	NA	NA	NA
306	The Kimos' Ohanas	Island of Hawaii 	HI	$77	5.0	Excellent	NA	NA	NA
307	Royal Kona Resort	Island of Hawaii 	HI	$159	3.5	Very good	85	28	8
308	Courtyard by Marriott King Kamehameha's Kona Beach Hotel	Island of Hawaii 	HI	$219	4.0	Very good	94	56	29
309	Kilauea Lodge and Restaurant	Island of Hawaii 	HI	$185	4.5	Excellent	43	10	3
310	Volcano Acres Ranch Bed & Breakfast	Island of Hawaii 	HI	$189	5.0	Excellent	NA	NA	NA
311	Leilani Bed & Breakfast	Island of Hawaii 	HI	$109	4.5	Excellent	NA	NA	NA
312	Holiday Inn Chicago Downtown	Chicago 	IL	$163	4.0	Very good	100	626	71
313	Best Western River North Hotel	Chicago 	IL	$143	4.0	Very good	100	297	68
314	Cambria Hotel Chicago Magnificent Mile	Chicago 	IL	$214	4.5	Excellent	100	224	60
315	The St. Clair Hotel - Magnificent Mile	Chicago 	IL	$160	4.0	Very good	100	233	62
316	Sofitel Chicago Magnificent Mile	Chicago 	IL	$179	4.5	Excellent	100	191	68
317	Hotel Julian	Chicago 	IL	$180	4.5	Excellent	100	254	67
318	Hilton Garden Inn Chicago Downtown/Magnificent Mile	Chicago 	IL	$161	4.5	Excellent	100	313	73
319	River Hotel	Chicago 	IL	$142	4.0	Very good	100	299	73
320	Omni Chicago Hotel	Chicago 	IL	$235	4.5	Excellent	100	275	67
321	The Whitehall Hotel	Chicago 	IL	$175	4.0	Very good	100	186	66
322	Majestic Hotel	Chicago 	IL	$79	4.5	Excellent	86	32	8
323	Hilton Chicago/Magnificent Mile Suites	Chicago 	IL	$199	4.0	Very good	100	130	57
324	Club Quarters Hotel, Central Loop	Chicago 	IL	$113	4.0	Very good	100	312	42
325	Hotel Lincoln, a Joie de Vivre Hotel	Chicago 	IL	$169	4.5	Excellent	90	34	14
326	Embassy Suites by Hilton Chicago Downtown Magnificent Mile	Chicago 	IL	$174	4.0	Very good	100	151	38
327	Hyatt Place Chicago/Downtown - The Loop	Chicago 	IL	$149	4.5	Excellent	100	315	30
328	Hampton Inn & Suites Chicago - Downtown	Chicago 	IL	$201	4.5	Excellent	100	327	78
329	Comfort Suites Michigan Avenue / Loop	Chicago 	IL	$154	4.5	Excellent	100	266	65
330	Hampton Inn Chicago McCormick Place	Chicago 	IL	$224	4.5	Excellent	99	44	11
331	Kimpton Hotel Allegro	Chicago 	IL	$170	4.0	Very good	100	301	43
332	Hilton Garden Inn Chicago Downtown Riverwalk	Chicago 	IL	$163	4.5	Excellent	100	277	71
333	Fairfield Inn & Suites Chicago Downtown/River North	Chicago 	IL	$199	4.5	Excellent	100	314	63
334	Hampton Inn Chicago Downtown West Loop	Chicago 	IL	$161	4.5	Excellent	100	174	11
335	The Drake, A Hilton Hotel	Chicago 	IL	$203	4.0	Very good	100	155	60
336	City Suites Hotel	Chicago 	IL	$179	4.5	Excellent	100	115	29
337	Waldorf Astoria Chicago	Chicago 	IL	$300	4.5	Excellent	100	159	67
338	SpringHill Suites Chicago Downtown/River North	Chicago 	IL	$209	4.5	Excellent	100	327	72
339	Homewood Suites by Hilton Chicago-Downtown	Chicago 	IL	$181	4.5	Excellent	100	327	73
340	Hotel EMC2, Autograph Collection	Chicago 	IL	$197	4.5	Excellent	100	197	50
341	Home2 Suites by Hilton Chicago River North	Chicago 	IL	$201	4.5	Excellent	NA	NA	NA
342	Hyatt Place Chicago / River North	Chicago 	IL	$187	4.5	Excellent	100	318	63
343	Aiden by Best Western @ Austin City Hotel	Austin 	TX	$132	4.5	Excellent	59	37	2
344	Fairfield Inn & Suites Austin North/Parmer Lane	Austin 	TX	$99	4.5	Excellent	37	44	1
345	Holiday Inn Austin Airport	Austin 	TX	$82	5.0	Excellent	NA	NA	NA
346	Crowne Plaza Austin	Austin 	TX	$71	4.0	Very good	46	71	7
347	Home2 Suites by Hilton - Austin/Cedar Park	Austin 	TX	$110	4.5	Excellent	66	64	7
348	Hyatt Place Austin/Arboretum	Austin 	TX	$121	4.5	Excellent	46	23	1
349	Home2 Suites by Hilton Austin North/Near the Domain	Austin 	TX	$130	4.5	Excellent	63	98	9
350	Hampton Inn Austin - Arboretum Northwest	Austin 	TX	$105	4.5	Excellent	50	76	4
351	La Quinta Inn & Suites by Wyndham Austin Near the Domain	Austin 	TX	$95	4.0	Very good	56	67	7
352	Staybridge Suites Austin North - Parmer Lane	Austin 	TX	$107	5.0	Excellent	39	56	0
353	Guild Red River	Austin 	TX	$231	4.5	Excellent	96	61	41
354	HYATT house Austin / Arboretum	Austin 	TX	$113	4.5	Excellent	50	52	6
355	Homewood Suites by Hilton TechRidge Parmer @ I-35	Austin 	TX	$89	4.5	Excellent	NA	NA	NA
356	Hilton Garden Inn Austin Northwest / Arboretum	Austin 	TX	$116	4.5	Excellent	NA	NA	NA
357	Hilton Garden Inn Austin Airport	Austin 	TX	$147	4.5	Excellent	NA	NA	NA
358	Hampton Inn & Suites Austin Cedar Park - Lakeline	Austin 	TX	$103	4.5	Excellent	50	58	8
359	Casa del Sol Bed and Breakfast at Lake Travis	Austin 	TX	$129	4.5	Excellent	NA	NA	NA
360	La Quinta Inn & Suites by Wyndham Austin NW/Lakeline Mall	Austin 	TX	$95	4.5	Excellent	46	48	4
361	Habitat Suites Hotel	Austin 	TX	$114	4.0	Very good	38	58	5
362	Hampton Inn & Suites Austin - Airport	Austin 	TX	$113	4.0	Very good	NA	NA	NA
363	Hampton Inn Austin/Oak Hill	Austin 	TX	$107	4.5	Excellent	NA	NA	NA
364	Courtyard Austin Airport	Austin 	TX	$107	4.0	Very good	NA	NA	NA
365	Hampton Inn Austin/Airport Area South	Austin 	TX	$125	4.0	Very good	NA	NA	NA
366	SpringHill Suites Austin South	Austin 	TX	$98	4.0	Very good	NA	NA	NA
367	Hilton Garden Inn Austin North	Austin 	TX	$120	4.5	Excellent	NA	NA	NA
368	Staybridge Suites Austin Arboretum	Austin 	TX	$93	4.5	Excellent	53	90	9
369	Residence Inn Austin Northwest/Arboretum	Austin 	TX	$116	4.0	Very good	NA	NA	NA
370	Homewood Suites by Hilton Austin-Arboretum / NW	Austin 	TX	$125	4.5	Excellent	52	78	7
371	Archer Hotel Austin	Austin 	TX	$279	4.5	Excellent	76	92	10
372	Holiday Inn Express Hotel & Suites Austin NW - Arboretum Area	Austin 	TX	$112	4.5	Excellent	57	72	5
373	Hard Rock Hotel & Casino Las Vegas	NA	NV	$54	4.0	Very good	82	38	9
374	Luxor Hotel & Casino	Las Vegas 	NV	$39	3.5	Very good	100	57	33
375	Tuscany Suites & Casino	Las Vegas 	NV	$75	4.0	Very good	90	21	7
376	Planet Hollywood Resort & Casino	Las Vegas 	NV	$79	4.0	Very good	100	157	99
377	The Venetian Resort	Las Vegas 	NV	$127	4.5	Excellent	100	164	99
378	Treasure Island Hotel & Casino	Las Vegas 	NV	$77	4.0	Very good	100	174	75
379	The Palazzo at The Venetian	Las Vegas 	NV	$127	4.5	Excellent	100	155	70
380	Bellagio Las Vegas	Las Vegas 	NV	$199	4.0	Very good	100	149	82
381	Signature at MGM Grand	Las Vegas 	NV	$99	4.5	Excellent	97	44	29
382	The Cosmopolitan of Las Vegas, Autograph Collection	Las Vegas 	NV	$140	4.5	Excellent	100	195	98
383	MGM Grand Hotel and Casino	Las Vegas 	NV	$89	4.0	Very good	100	109	56
384	Trump International Hotel Las Vegas	Las Vegas 	NV	$127	4.5	Excellent	91	56	16
385	Rio All-Suite Hotel & Casino	NA	NV	$39	3.5	Very good	89	19	15
386	Westgate Las Vegas Resort & Casino	Las Vegas 	NV	$50	4.0	Very good	84	18	8
387	The Mirage Hotel & Casino	Las Vegas 	NV	$119	4.0	Very good	100	163	98
388	Harrah's Las Vegas Hotel & Casino	Las Vegas 	NV	$59	4.0	Very good	100	179	111
389	Excalibur Hotel & Casino	Las Vegas 	NV	$59	3.5	Very good	97	82	40
390	Stratosphere Hotel, Casino and Tower, BW Premier Collection	Las Vegas 	NV	$49	3.5	Very good	97	37	26
391	Hilton Grand Vacations on the Las Vegas Strip	Las Vegas 	NV	$98	4.0	Very good	92	19	7
392	Flamingo Las Vegas Hotel & Casino	Las Vegas 	NV	$89	3.5	Very good	100	169	115
393	Vdara Hotel & Spa at ARIA Las Vegas	Las Vegas 	NV	$139	4.5	Excellent	100	84	31
394	Hilton Grand Vacations On Paradise	Las Vegas 	NV	$82	4.5	Excellent	89	16	14
395	Golden Nugget Hotel & Casino	Las Vegas 	NV	$69	4.0	Very good	100	85	62
396	The LINQ Hotel & Casino	Las Vegas 	NV	$100	4.0	Very good	100	170	108
397	ARIA Resort & Casino	Las Vegas 	NV	$299	4.5	Excellent	100	157	36
398	Paris Las Vegas	Las Vegas 	NV	$199	4.0	Very good	100	176	114
399	New York - New York Hotel and Casino	Las Vegas 	NV	$79	4.0	Very good	100	146	61
400	Mandalay Bay Resort & Casino	Las Vegas 	NV	$69	4.0	Very good	97	75	54
401	Circus Circus Hotel & Casino Las Vegas	Las Vegas 	NV	$29	3.5	Very good	86	30	10
402	Bally's Las Vegas Hotel & Casino	Las Vegas 	NV	$56	4.0	Very good	100	127	103
403	Star Island Resort and Club	Kissimmee 	FL	$83	4.0	Very good	59	40	5
404	Liki Tiki Village	Kissimmee 	FL	$70	3.5	Very good	NA	NA	NA
405	Magic Moment Resort and Kids Club	Kissimmee 	FL	$62	4.5	Excellent	60	52	9
406	Seasons Florida Resort	NA	FL	$47	4.0	Very good	67	20	8
407	Royale Parc Suites	Kissimmee 	FL	$87	4.5	Excellent	90	38	14
408	Ramada by Wyndham Kissimmee Gateway	Kissimmee 	FL	$49	3.5	Very good	46	30	2
409	Holiday Inn Express & Suites S Lake Buena Vista	NA	FL	$93	4.0	Very good	68	67	8
410	Quality Inn & Suites By The Parks	Kissimmee 	FL	$99	4.5	Excellent	59	51	4
411	Comfort Suites Maingate East	Kissimmee 	FL	$129	4.5	Excellent	87	22	15
412	Champions World Resort	Kissimmee 	FL	$45	3.5	Very good	NA	NA	NA
413	Polynesian Isles Resort	Kissimmee 	FL	$143	4.5	Excellent	64	64	11
414	GreenPoint Hotel Kissimmee	Kissimmee 	FL	$71	4.5	Excellent	61	51	9
415	Holiday Inn Club Vacations At Orange Lake Resort	Kissimmee 	FL	$139	4.0	Very good	NA	NA	NA
416	Margaritaville Resort Orlando	NA	FL	$191	4.5	Excellent	52	57	0
417	Legacy Vacation Resorts	Kissimmee 	FL	$65	3.5	Very good	57	48	8
418	Red Lion Hotel Orlando - Kissimmee Maingate	Kissimmee 	FL	$47	3.5	Very good	44	27	2
419	Wingate by Wyndham Kissimmee at Celebration	Kissimmee 	FL	$59	4.0	Very good	NA	NA	NA
420	Reunion Resort	Kissimmee 	FL	$143	4.0	Very good	NA	NA	NA
421	Galleria Palms Hotel	Kissimmee 	FL	$84	4.5	Excellent	57	44	4
422	Holiday Inn Orlando SW - Celebration Area	Kissimmee 	FL	$64	3.5	Very good	86	38	14
423	Westgate Town Center Resort	Kissimmee 	FL	$119	3.5	Very good	45	34	4
424	Westgate Vacation Villas Resort	Kissimmee 	FL	$119	3.5	Very good	45	34	4
425	Embassy Suites by Hilton Orlando Lake Buena Vista South	Kissimmee 	FL	$117	4.5	Excellent	68	65	6
426	Regal Oaks - The Official CLC World Resort	NA	FL	$283	4.5	Excellent	76	55	20
427	Grand Orlando Resort at Celebration	Kissimmee 	FL	$59	3.5	Very good	42	50	1
428	Red Lion Hotel Orlando Lake Buena Vista South	Kissimmee 	FL	$66	4.5	Excellent	59	14	3
429	Gaylord Palms Resort & Convention Center	Kissimmee 	FL	$263	4.0	Very good	47	24	0
430	Seralago Hotel and Suites	Kissimmee 	FL	$49	3.0	Average	85	28	16
431	Palazzo Lakeside Hotel, an Ascend Hotel Collection Member	Kissimmee 	FL	$50	4.0	Very good	69	19	3
432	FantasyWorld Resort	Kissimmee 	FL	$1,626	4.0	Very good	71	22	2
433	Welk Resorts Palm Springs	Cathedral City 	CA	$275	4.0	Very good	42	28	3
434	7 Springs Inn & Suites	Palm Springs 	CA	$89	4.0	Very good	72	17	4
435	La Quinta Resort & Club, A Waldorf Astoria Resort	La Quinta 	CA	$297	4.5	Excellent	37	316	59
436	Ace Hotel & Swim Club	Palm Springs 	CA	$159	4.0	Very good	61	28	5
437	Omni Rancho Las Palmas Resort & Spa	Rancho Mirage 	CA	$199	4.0	Very good	67	20	4
438	Hyatt Regency Indian Wells Resort & Spa	Indian Wells 	CA	$289	4.5	Excellent	37	13	2
439	Marriott's Desert Springs Villas II	Palm Desert 	CA	$259	4.0	Very good	NA	NA	NA
440	The Palm Springs Hotel	Palm Springs 	CA	$199	4.5	Excellent	62	26	5
441	The Ritz-Carlton, Rancho Mirage	NA	CA	$379	4.5	Excellent	37	12	2
442	The Inn at Deep Canyon	Palm Desert 	CA	$89	4.0	Very good	65	37	11
443	The Westin Desert Willow Villas	Palm Desert 	CA	$222	4.5	Excellent	NA	NA	NA
444	Little Paradise Hotel	Palm Springs 	CA	$189	5.0	Excellent	68	25	9
445	Agua Caliente Resort Casino Spa Rancho Mirage	Rancho Mirage 	CA	$227	4.0	Very good	57	15	1
446	Casa Cody	Palm Springs 	CA	$119	4.5	Excellent	100	76	39
447	Hampton Inn & Suites Palm Desert	Palm Desert 	CA	$108	4.0	Very good	41	23	0
448	The Westin Mission Hills Golf Resort & Spa	Rancho Mirage 	CA	$239	4.0	Very good	NA	NA	NA
449	HOTEL PASEO Autograph Collection Hotels	Palm Desert 	CA	$179	4.5	Excellent	89	34	15
450	Marriott's Shadow Ridge I-The Villages	Palm Desert 	CA	$199	4.0	Very good	NA	NA	NA
451	Hilton Garden Inn Palm Springs/Rancho Mirage	Rancho Mirage 	CA	$107	4.0	Very good	70	16	7
452	Skylark Hotel	Palm Springs 	CA	$159	4.5	Excellent	62	38	12
453	Renaissance Indian Wells Resort & Spa	Indian Wells 	CA	$289	4.0	Very good	38	13	2
454	Homewood Suites by Hilton La Quinta	La Quinta 	CA	$107	4.5	Excellent	57	36	3
455	Best Western Plus Las Brisas Hotel	Palm Springs 	CA	$186	4.0	Very good	100	81	34
456	Kimpton Rowan Palm Springs Hotel	Palm Springs 	CA	$246	4.5	Excellent	100	94	49
457	Hotel California	Palm Springs 	CA	$230	5.0	Excellent	67	21	8
458	Andreas Hotel & Spa	Palm Springs 	CA	$222	4.5	Excellent	100	90	47
459	DoubleTree by Hilton Hotel Golf Resort Palm Springs	Cathedral City 	CA	$118	4.0	Very good	NA	NA	NA
460	Colony Palms Hotel	Palm Springs 	CA	$199	4.5	Excellent	88	29	15
461	L'Horizon Resort & Spa	Palm Springs 	CA	$510	4.5	Excellent	63	33	7
462	Avalon Hotel and Bungalows Palm Springs	Palm Springs 	CA	$287	4.0	Very good	95	36	15
463	Desert Riviera Hotel	Palm Springs 	CA	$234	5.0	Excellent	65	23	7
464	Lorenzo Hotel	Dallas 	TX	$199	4.0	Very good	77	184	31
465	Fairmont Dallas	Dallas 	TX	$170	4.0	Very good	93	54	11
466	Hampton Inn & Suites Dallas Downtown	Dallas 	TX	$107	4.5	Excellent	100	109	12
467	Magnolia Hotel Dallas-Park Cities	Dallas 	TX	$135	4.0	Very good	82	25	8
468	The Westin Dallas Park Central	Dallas 	TX	$79	4.5	Excellent	NA	NA	NA
469	La Quinta Inn & Suites by Wyndham Dallas - Addison Galleria	Dallas 	TX	$71	4.0	Very good	72	54	3
470	Fairfield Inn & Suites by Marriott Dallas Downtown	Dallas 	TX	$119	2.5	Average	69	40	8
471	Wyndham Dallas Suites - Park Central	Dallas 	TX	$82	4.0	Very good	36	14	1
472	Crowne Plaza Hotel Dallas Downtown	Dallas 	TX	$88	3.5	Very good	100	105	23
473	Hotel Indigo Dallas Downtown	Dallas 	TX	$103	4.0	Very good	99	76	9
474	Hyatt Regency Dfw	Dallas 	TX	$169	4.0	Very good	45	73	0
475	La Quinta Inn & Suites by Wyndham Dallas Love Field	Dallas 	TX	$89	4.5	Excellent	NA	NA	NA
476	Hotel ZaZa Dallas	Dallas 	TX	$264	4.5	Excellent	96	72	9
477	Hyatt Place Dallas Park Central	Dallas 	TX	$89	4.0	Very good	NA	NA	NA
478	Canvas Hotel Dallas	Dallas 	TX	$122	4.0	Very good	70	12	6
479	Days Inn by Wyndham Market Center Dallas Love Field	Dallas 	TX	$72	4.0	Very good	70	16	4
480	Cooper Hotel Conference Center & Spa	Dallas 	TX	$155	4.5	Excellent	41	48	3
481	DoubleTree by Hilton Dallas Market Center	Dallas 	TX	$85	4.0	Very good	69	15	4
482	Hilton Garden Inn Downtown Dallas	Dallas 	TX	$139	4.0	Very good	100	129	15
483	Le Meridien Dallas by the Galleria	Dallas 	TX	$136	4.0	Very good	71	78	6
484	Warwick Melrose - Dallas	Dallas 	TX	$143	4.5	Excellent	84	41	7
485	La Quinta Inn & Suites by Wyndham Dallas Downtown	Dallas 	TX	$109	3.5	Very good	93	47	14
486	Courtyard by Marriott Dallas Downtown/Reunion District	Dallas 	TX	$134	4.5	Excellent	93	40	13
487	Hyatt House Dallas/Uptown	Dallas 	TX	$113	4.0	Very good	78	194	40
488	Cambria Hotel & Suites	Dallas 	TX	$139	4.0	Very good	100	110	9
489	The Adolphus, Autograph Collection	Dallas 	TX	$289	4.5	Excellent	100	123	16
490	Hilton Anatole	Dallas 	TX	$239	4.0	Very good	60	37	11
491	Omni Dallas Hotel	Dallas 	TX	$189	4.5	Excellent	90	24	7
492	Hotel Crescent Court	Dallas 	TX	$215	4.5	Excellent	95	77	10
493	Magnolia Hotel Dallas Downtown	Dallas 	TX	$123	4.5	Excellent	100	127	15
494	Hyatt Regency Dallas	NA	TX	$159	4.0	Very good	88	16	5
495	Omni Dallas Hotel at Park West	Dallas 	TX	$179	4.5	Excellent	NA	NA	NA
496	Ka'anapali Beach Hotel	Maui 	HI	$218	4.5	Excellent	81	37	11
497	Aston Kaanapali Shores	Maui 	HI	$314	4.0	Very good	67	19	2
498	Andaz Maui At Wailea Resort	Maui 	HI	$455	4.5	Excellent	74	32	17
499	Grand Wailea	Maui 	HI	$649	4.0	Very good	87	30	11
500	Napili Sunset Beachfront Resort	Maui 	HI	NA	4.5	Excellent	58	13	10
501	Hyatt Regency Maui Resort and Spa	Maui 	HI	$629	4.0	Very good	60	32	14
502	Aston Maui Kaanapali Villas	Maui 	HI	$259	4.0	Very good	54	29	8
503	Royal Lahaina Resort	Maui 	HI	$229	4.0	Very good	64	40	17
504	Fairmont Kea Lani, Maui	Maui 	HI	$881	4.5	Excellent	69	20	11
505	Four Seasons Resort Maui at Wailea	Maui 	HI	$880	4.5	Excellent	79	11	3
506	Mana Kai Maui	Maui 	HI	NA	4.5	Excellent	54	209	80
507	The Mauian Hotel on Napili Beach	Maui 	HI	$309	4.5	Excellent	61	13	10
508	Maui Coast Hotel	Maui 	HI	$380	4.5	Excellent	70	16	4
509	Ka'anapali Beach Club	Maui 	HI	$486	4.0	Very good	64	19	2
510	The Westin Nanea Ocean Villas, Ka'anapali	Maui 	HI	$639	4.5	Excellent	60	33	7
511	Honua Kai Resort & Spa	Maui 	HI	$404	4.5	Excellent	62	14	2
512	Wailea Beach Resort - Marriott, Maui	Maui 	HI	$699	4.5	Excellent	85	22	9
513	The Ritz-Carlton	Maui 	HI	$569	4.5	Excellent	64	11	7
514	The Westin Ka'anapali Ocean Resort Villas	Maui 	HI	$529	4.5	Excellent	58	22	7
515	Lumeria Maui	Maui 	HI	$389	4.5	Excellent	NA	NA	NA
516	Montage Kapalua Bay	Maui 	HI	$1,445	5.0	Excellent	55	14	9
517	Marriott's Maui Ocean Club - Molokai, Maui & Lanai Towers	Maui 	HI	$439	4.5	Excellent	71	38	16
518	Maui Guest House	Maui 	HI	$229	5.0	Excellent	NA	NA	NA
519	The Kapalua Villas, Maui	Maui 	HI	$245	4.0	Very good	67	16	12
520	Napili Shores Maui by Outrigger	Maui 	HI	$259	4.0	Very good	64	13	10
521	The Plantation Inn	Maui 	HI	$222	4.5	Excellent	100	82	75
522	Courtyard by Marriott Maui Kahului Airport	Maui 	HI	$249	4.5	Excellent	52	50	6
523	What a Wonderful World Bed and Breakfast	Maui 	HI	$250	4.5	Excellent	42	209	80
524	Ho'olei at Grand Wailea	Maui 	HI	$2,195	5.0	Excellent	75	48	20
525	Ku'au Inn Bed and Breakfest	Maui 	HI	NA	4.5	Excellent	NA	NA	NA
526	Welk Resorts Branson Hotel	Branson 	MO	$79	4.5	Excellent	46	242	316
527	Lodge of the Ozarks	Branson 	MO	$102	5.0	Excellent	83	14	31
528	Radisson Hotel Branson	Branson 	MO	$87	4.0	Very good	83	21	24
529	Hotel Grand Victorian	NA	MO	$110	4.5	Excellent	85	28	17
530	Savannah House Hotel	Branson 	MO	$82	4.5	Excellent	58	16	18
531	Carriage House Inn	Branson 	MO	$65	4.5	Excellent	78	47	84
532	Super 8 by Wyndham Branson/Andy Williams Theatre	Branson 	MO	$64	4.5	Excellent	78	15	23
533	Chateau on the Lake Resort Spa & Convention Center	Branson 	MO	$149	4.5	Excellent	NA	NA	NA
534	Ramada by Wyndham Branson	Branson 	MO	$50	4.5	Excellent	49	16	20
535	Marriott's Willow Ridge Lodge	Branson 	MO	$79	4.5	Excellent	85	12	24
536	Seven Gables Inn	Branson 	MO	$65	4.5	Excellent	84	14	35
537	Branson Towers Hotel	Branson 	MO	$70	4.0	Very good	55	14	11
538	Branson's Best	Branson 	MO	$72	4.5	Excellent	77	11	16
539	Hilton Branson Convention Center	Branson 	MO	$121	4.0	Very good	92	40	48
540	Green Gables Inn	Branson 	MO	$52	4.5	Excellent	79	21	15
541	The Branson Clarion Hotel & Conference Center	Branson 	MO	$116	4.0	Very good	88	17	28
542	Holiday Inn Express Hotel & Suites Branson 76 Central	Branson 	MO	$114	4.0	Very good	81	21	21
543	Shady Acre Motel	Branson West 	MO	$59	5.0	Excellent	NA	NA	NA
544	Camden Hotel & Conference Center	Branson 	MO	$89	4.5	Excellent	83	22	16
545	Quality Inn West	Branson 	MO	$81	4.5	Excellent	74	12	21
546	Barrington Hotel & Suites	Branson 	MO	$59	4.5	Excellent	58	20	16
547	Twelve Oaks Inn	Branson 	MO	$50	4.5	Excellent	71	33	79
548	The Dutton Inn	Branson 	MO	$70	4.5	Excellent	75	36	79
549	Best Western Music Capital Inn	Branson 	MO	$91	4.5	Excellent	65	20	53
550	StoneBridge Resort	Branson West 	MO	$119	4.5	Excellent	NA	NA	NA
551	Holiday Inn Express Branson - Green Mountain Drive	Branson 	MO	$113	4.5	Excellent	75	55	77
552	Brookwood Inn	Branson 	MO	$77	4.5	Excellent	75	47	82
553	Rosebud Inn	Branson 	MO	$105	4.5	Excellent	68	53	67
554	Spinning Wheel Inn	Branson 	MO	$50	4.5	Excellent	72	35	84
555	Red Bud Cove	Hollister 	MO	$149	5.0	Excellent	NA	NA	NA
556	Holiday Inn Washington - Capitol	Washington DC 	DC	$165	4.0	Very good	100	38	7
557	Hotel Hive	Washington DC 	DC	$119	5.0	Excellent	99	39	8
558	Washington Plaza Hotel	Washington DC 	DC	$104	4.5	Excellent	100	121	17
559	Hyatt Regency Washington on Capitol Hill	Washington DC 	DC	$199	4.0	Very good	100	47	12
560	Phoenix Park Hotel	Washington DC 	DC	$188	4.5	Excellent	100	82	13
561	The St. Gregory Hotel	Washington DC 	DC	$132	4.5	Excellent	100	209	29
562	Cambria Hotel Washington D.C. Convention Center	Washington DC 	DC	$127	4.5	Excellent	100	58	7
563	The Fairfax at Embassy Row	Washington DC 	DC	$143	4.0	Very good	100	104	36
564	Courtyard by Marriott Washington Downtown/Convention Center	Washington DC 	DC	$152	4.5	Excellent	100	95	11
565	Melrose Georgetown Hotel	Washington DC 	DC	$144	4.5	Excellent	100	75	6
566	Churchill Hotel Near Embassy Row	Washington DC 	DC	$169	4.0	Very good	96	55	16
567	Capitol Hill Hotel	Washington DC 	DC	$143	4.5	Excellent	100	37	8
568	The Darcy Washington DC	Washington DC 	DC	$169	4.5	Excellent	100	101	27
569	The Normandy Hotel	Washington DC 	DC	$170	4.5	Excellent	90	31	7
570	Hotel 1600	Washington DC 	DC	$99	4.0	Very good	NA	NA	NA
571	Hilton Garden Inn Washington DC Downtown	Washington DC 	DC	$162	4.5	Excellent	100	201	17
572	Avenue Suites Georgetown	Washington DC 	DC	$189	4.5	Excellent	100	68	5
573	Hampton Inn Washington Downtown Convention Center	Washington DC 	DC	$130	4.5	Excellent	100	144	18
574	The Georgetown Inn	Washington DC 	DC	$159	4.0	Very good	98	124	35
575	Holiday Inn Washington DC - Central / White House	Washington DC 	DC	$136	4.0	Very good	100	101	24
576	Kimpton Hotel Palomar Washington DC	Washington DC 	DC	$119	4.5	Excellent	100	103	34
577	Hyatt House Washington DC/The Wharf	Washington DC 	DC	$175	4.0	Very good	98	38	11
578	Donovan Hotel	Washington DC 	DC	$139	4.5	Excellent	100	141	14
579	Courtyard Washington Capitol Hill/Navy Yard	Washington DC 	DC	$135	4.0	Very good	99	52	4
580	Comfort Inn Downtown DC Convention Center	NA	DC	$125	4.0	Very good	100	127	12
581	Homewood Suites by Hilton Washington DC Convention Ctr	Washington DC 	DC	$199	4.5	Excellent	100	51	6
582	West End part of the Georgetown Collection	Washington DC 	DC	$118	4.5	Excellent	100	156	8
583	Tabard Inn	Washington DC 	DC	$150	4.0	Very good	100	169	36
584	Homewood Suites By Hilton Washington DC NoMa Union Station	Washington DC 	DC	$192	4.5	Excellent	75	118	6
585	Moxy Washington, DC Downtown	Washington DC 	DC	$203	4.5	Excellent	100	125	13
586	Kalorama Guest House	Washington DC 	DC	$115	4.5	Excellent	83	75	11
587	Georgetown Suites	Washington DC 	DC	$132	4.0	Very good	96	116	21
588	Sleep Inn	Nashville 	TN	$60	4.0	Very good	45	15	1
589	Holiday Inn Nashville-Vanderbilt (Downtown)	Nashville 	TN	$206	4.5	Excellent	86	43	5
590	Clarion Hotel Nashville Downtown - Stadium	Nashville 	TN	$217	4.5	Excellent	59	43	12
591	The Capitol Hotel Downtown Nashville	Nashville 	TN	$294	4.0	Very good	99	87	21
592	Drury Inn & Suites Nashville Airport	Nashville 	TN	$130	4.5	Excellent	41	44	7
593	Homewood Suites Nashville Vanderbilt	Nashville 	TN	$297	4.5	Excellent	88	46	7
594	Holiday Inn Express Hotel & Suites Nashville - Opryland	Nashville 	TN	$169	4.5	Excellent	80	30	22
595	Hampton Inn & Suites Nashville @ Opryland	Nashville 	TN	$140	4.5	Excellent	80	16	19
