	Hotel	Location	State	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
70	Hotel Alessandra	Houston 	TX	$197	5.0	Excellent	100	149	12
71	Hyatt Regency Houston	Houston 	TX	$219	4.0	Very good	100	125	10
72	Hotel ZaZa Houston Museum District	Houston 	TX	$230	4.5	Excellent	79	55	34
73	Hilton Americas - Houston	Houston 	TX	$174	4.5	Excellent	91	64	11
74	Red Roof Inn Houston - Westchase	Houston 	TX	$55	4.5	Excellent	40	76	2
75	Hampton Inn & Suites Houston North IAH	Houston 	TX	$76	4.5	Excellent	NA	NA	NA
76	Hampton Inn Houston Downtown	Houston 	TX	$132	4.5	Excellent	91	68	6
77	Homewood Suites by Hilton Houston Downtown	Houston 	TX	$140	4.5	Excellent	90	59	6
78	Wyndham Houston - Medical Center Hotel and Suites	NA	TX	$151	4.0	Very good	66	54	0
79	Magnolia Hotel Houston, A Tribute Portfolio Hotel	Houston 	TX	$151	4.5	Excellent	100	188	17
80	Houston Airport Marriott at George Bush Intercontinental	Houston 	TX	$195	4.5	Excellent	51	77	0
81	Hyatt Place Houston/Galleria	Houston 	TX	$89	4.0	Very good	93	56	5
82	Hotel ZaZa Houston Memorial City	Houston 	TX	$260	5.0	Excellent	64	96	8
83	Hyatt Regency Houston/Galleria	Houston 	TX	$139	4.5	Excellent	98	68	6
84	Courtyard Houston by The Galleria	Houston 	TX	$92	4.5	Excellent	93	51	5
85	Crowne Plaza Suites Houston - Near Sugar Land	Houston 	TX	$72	4.5	Excellent	38	42	1
86	Best Western Plus Downtown Inn & Suites	Houston 	TX	$133	4.5	Excellent	75	221	36
87	Drury Inn & Suites Houston Near The Galleria	Houston 	TX	$95	4.5	Excellent	76	117	15
88	The Whitehall Houston	Houston 	TX	$169	4.5	Excellent	88	329	60
89	Comfort Suites Houston West Beltway 8	Houston 	TX	$79	4.5	Excellent	37	69	0
90	Hotel Derek Houston Galleria	Houston 	TX	$129	3.5	Very good	89	52	6
91	The Houstonian Hotel, Club & Spa	Houston 	TX	$269	4.5	Excellent	43	17	3
92	Omni Houston Hotel	Houston 	TX	$161	4.5	Excellent	60	46	4
93	AC Hotel by Marriott Houston Downtown	Houston 	TX	$103	4.0	Very good	NA	NA	NA
94	Crowne Plaza San Antonio Airport	San Antonio 	TX	$79	3.5	Very good	51	62	6
95	Comfort Suites Alamo/Riverwalk	San Antonio 	TX	$118	4.5	Excellent	86	30	17
96	Crockett Hotel	San Antonio 	TX	$195	4.5	Excellent	100	145	70
97	Hotel Contessa	San Antonio 	TX	$135	4.5	Excellent	100	151	81
98	Holiday Inn San Antonio Riverwalk	San Antonio 	TX	$179	4.0	Very good	100	159	57
99	La Quinta Inn & Suites by Wyndham San Antonio Airport	San Antonio 	TX	$71	4.0	Very good	40	31	1
100	Hyatt Place San Antonio Northwest	San Antonio 	TX	$83	4.0	Very good	48	52	3
101	Hotel Gibbs Downtown San Antonio Riverwalk	San Antonio 	TX	$119	4.0	Very good	100	160	78
102	Best Western Premier Historic Travelers Hotel Alamo/Riverwalk	San Antonio 	TX	$115	4.0	Very good	100	128	66
